"SampleYear","SpeciesID","PunchCardArea","length_cm"
1981,"410129",7,57
1981,"410129",7,42
1981,"410129",7,53
1981,"410129",7,54
1981,"410129",7,54
1981,"410129",7,59
1981,"410129",7,64
1981,"410129",7,58
1981,"410129",8,39
1981,"410129",8,64
1981,"410129",9,45
1981,"410129",9,58
1981,"410129",9,46
1981,"410129",10,19
1981,"410129",10,29
1981,"410129",10,23
1982,"410129",5,34
1982,"410129",5,38
1982,"410129",5,30
1982,"410129",5,36
1982,"410129",5,32
1982,"410129",5,33
1982,"410129",5,33
1982,"410129",5,40
1982,"410129",5,37
1982,"410129",5,42
1982,"410129",5,40
1982,"410129",5,56
1982,"410129",6,36
1982,"410129",6,70
1982,"410129",6,64
1982,"410129",6,56
1982,"410129",6,65
1982,"410129",6,66
1982,"410129",6,65
1982,"410129",7,55
1982,"410129",7,60
1982,"410129",7,49
1982,"410129",7,63
1982,"410129",7,46
1982,"410129",7,72
1982,"410129",7,65
1982,"410129",7,65
1982,"410129",7,56
1982,"410129",7,59
1982,"410129",7,59
1982,"410129",7,55
1982,"410129",7,60
1982,"410129",7,63
1982,"410129",7,64
1982,"410129",7,56
1982,"410129",7,49
1982,"410129",7,48
1982,"410129",7,58
1982,"410129",7,49
1982,"410129",7,44
1982,"410129",10,32
1982,"410129",10,31
1982,"410129",10,43
1982,"410129",11,49
1982,"410129",11,46
1982,"410129",11,45
1982,"410129",11,51
1982,"410129",11,46
1982,"410129",11,52
1983,"410129",5,36
1983,"410129",5,29
1983,"410129",5,70
1983,"410129",5,28
1983,"410129",5,29
1983,"410129",5,27
1983,"410129",5,39
1983,"410129",5,54
1983,"410129",5,55
1983,"410129",5,56
1983,"410129",5,61
1983,"410129",5,54
1983,"410129",5,59
1983,"410129",5,34
1983,"410129",5,41
1983,"410129",5,60
1983,"410129",5,40
1983,"410129",5,40
1983,"410129",5,57
1983,"410129",6,72
1983,"410129",6,76
1983,"410129",6,78
1983,"410129",6,75
1983,"410129",6,74
1983,"410129",6,80
1983,"410129",6,74
1983,"410129",6,72
1983,"410129",6,75
1983,"410129",6,72
1983,"410129",6,69
1983,"410129",6,71
1983,"410129",6,71
1983,"410129",6,78
1983,"410129",6,67
1983,"410129",6,79
1983,"410129",6,73
1983,"410129",6,73
1983,"410129",6,37
1983,"410129",6,76
1983,"410129",6,73
1983,"410129",6,42
1983,"410129",6,33
1983,"410129",6,70
1983,"410129",6,63
1983,"410129",6,80
1983,"410129",6,59
1983,"410129",6,67
1983,"410129",6,70
1983,"410129",6,73
1983,"410129",7,59
1983,"410129",7,32
1983,"410129",7,51
1983,"410129",7,69
1983,"410129",7,80
1983,"410129",7,63
1983,"410129",7,74
1983,"410129",7,59
1983,"410129",9,70
1983,"410129",9,62
1983,"410129",9,66
1984,"410129",5,59
1984,"410129",5,66
1984,"410129",5,55
1984,"410129",5,69
1984,"410129",5,41
1984,"410129",5,35
1984,"410129",5,58
1984,"410129",5,37
1984,"410129",5,40
1984,"410129",5,65
1984,"410129",5,49
1984,"410129",5,45
1984,"410129",5,71
1984,"410129",5,56
1984,"410129",5,58
1984,"410129",5,54
1984,"410129",5,64
1984,"410129",5,45
1984,"410129",5,49
1984,"410129",5,34
1984,"410129",5,40
1984,"410129",5,68
1984,"410129",5,56
1984,"410129",5,57
1984,"410129",5,41
1984,"410129",5,55
1984,"410129",5,56
1984,"410129",5,59
1984,"410129",5,31
1984,"410129",6,67
1984,"410129",6,72
1984,"410129",6,58
1984,"410129",6,32
1984,"410129",6,44
1984,"410129",6,39
1984,"410129",6,66
1984,"410129",6,68
1984,"410129",6,64
1984,"410129",6,72
1984,"410129",6,58
1984,"410129",6,62
1984,"410129",6,51
1984,"410129",6,78
1984,"410129",6,73
1984,"410129",6,74
1984,"410129",6,33
1984,"410129",6,46
1984,"410129",7,59
1984,"410129",7,70
1984,"410129",7,52
1984,"410129",7,61
1984,"410129",7,69
1984,"410129",7,65
1984,"410129",7,75
1984,"410129",7,64
1984,"410129",7,61
1984,"410129",7,49
1984,"410129",9,71
1984,"410129",9,66
1984,"410129",9,37
1984,"410129",13,50
1984,"410129",13,55
1984,"410129",13,47
1985,"410129",5,27
1985,"410129",5,40
1985,"410129",5,34
1985,"410129",5,55
1985,"410129",5,44
1985,"410129",5,28
1985,"410129",5,41
1985,"410129",5,34
1985,"410129",5,56
1985,"410129",5,33
1985,"410129",5,40
1985,"410129",5,31
1985,"410129",5,35
1985,"410129",5,41
1985,"410129",5,27
1985,"410129",5,37
1985,"410129",5,37
1985,"410129",5,45
1985,"410129",6,57
1985,"410129",6,60
1985,"410129",6,44
1985,"410129",6,42
1985,"410129",7,67
1985,"410129",7,73
1985,"410129",7,67
1985,"410129",7,70
1985,"410129",7,72
1985,"410129",7,51
1985,"410129",7,73
1985,"410129",7,64
1985,"410129",7,61
1985,"410129",7,75
1985,"410129",8,60
1985,"410129",8,64
1985,"410129",9,39
1987,"410129",5,48
1987,"410129",5,41
1987,"410129",5,63
1987,"410129",5,58
1987,"410129",5,39
1987,"410129",5,47
1987,"410129",5,40
1987,"410129",5,41
1987,"410129",5,44
1987,"410129",5,42
1987,"410129",5,44
1987,"410129",5,52
1987,"410129",5,51
1987,"410129",5,59
1987,"410129",5,45
1987,"410129",5,47
1987,"410129",5,65
1987,"410129",5,49
1987,"410129",5,38
1987,"410129",6,65
1987,"410129",6,73
1987,"410129",6,58
1987,"410129",6,67
1987,"410129",6,71
1987,"410129",6,69
1987,"410129",6,69
1987,"410129",6,66
1987,"410129",6,48
1987,"410129",6,69
1987,"410129",7,76
1987,"410129",7,74
1987,"410129",8,68
1987,"410129",8,67
1987,"410129",9,66
1987,"410129",9,69
1992,"410129",7,33
1992,"410129",7,69
1993,"410129",5,31
1993,"410129",7,78
1994,"410129",5,49
1994,"410129",6,41
1994,"410129",6,78
1994,"410129",7,40
1994,"410129",7,61
1994,"410129",7,54
1994,"410129",7,37
1994,"410129",7,61
1994,"410129",7,60
1994,"410129",7,58
1994,"410129",7,45
1994,"410129",7,76
1994,"410129",7,45
1994,"410129",7,69
1994,"410129",7,64
1994,"410129",7,64
1994,"410129",9,64
1995,"410129",5,37
1995,"410129",5,42
1995,"410129",5,39
1995,"410129",7,54
1995,"410129",7,44
1995,"410129",7,84
1996,"410129",5,72
1996,"410129",5,44
1996,"410129",6,73.9
1996,"410129",6,73.9
1996,"410129",7,54.1
1996,"410129",7,67
1996,"410129",7,33.8
1996,"410129",7,33.8
1996,"410129",7,77
1996,"410129",7,77
1996,"410129",7,74
1996,"410129",7,72
1996,"410129",7,54.1
1996,"410129",8,67
1996,"410129",11,56.5
1996,"410129",11,48.2
1996,"410129",11,55.5
1996,"410129",11,41.4
1996,"410129",11,45.6
1996,"410129",11,69
1996,"410129",11,54
1996,"410129",11,52.3
1997,"410129",5,44
1997,"410129",7,53
1997,"410129",7,65
1997,"410129",11,33
1998,"410129",6,56
1998,"410129",7,69
