"","set","mean_depth","yelloweye_catch","bocaccio_catch","bait","lure","effort_sec","date","month","start_time","end_time","avg_anglers","Site","basin","survey","angler_hours"
"33","PW_74_040_I79",45.324325,0,0,"Herring","Hook only",7532.41379310345,1974-08-14,8,NA,NA,2,"I79","Central Sound","Percy_Washington",4.18467432950192
"34","PW_74_041_L72",30.181818,0,0,"Herring","Hook only",15900,1974-08-21,8,09:15:00,13:40:00,4,"L72","Central Sound","Percy_Washington",17.6666666666667
"35","PW_74_041_M69",40.108108,0,0,"Herring","Hook only",9600,1974-08-21,8,13:50:00,16:30:00,4,"M69","Central Sound","Percy_Washington",10.6666666666667
"36","PW_74_042_I86",27.652173,0,0,"Herring","Hook only",8100,1974-08-28,8,10:30:00,12:45:00,2,"I86","Central Sound","Percy_Washington",4.5
"37","PW_74_042_M69",40.108108,0,0,"Herring","Hook only",7532.41379310345,1974-09-20,9,NA,NA,3,"M69","Central Sound","Percy_Washington",6.27701149425287
"38","PW_74_043_I82",6.083333,0,0,"Herring","Hook only",1800,1974-08-28,8,13:00:00,13:30:00,2,"I82","Central Sound","Percy_Washington",1
"39","PW_74_044_I79",45.324325,0,0,"Herring","Hook only",1800,1974-08-28,8,14:00:00,14:30:00,2,"I79","Central Sound","Percy_Washington",1
"40","PW_74_045_M69",40.108108,0,0,"Herring","Hook only",7532.41379310345,1974-09-20,9,NA,NA,3,"M69","Central Sound","Percy_Washington",6.27701149425287
"41","PW_74_33_H67",59.612243,0,0,"Herring","Hook only",15900,1974-07-26,7,10:00:00,14:25:00,3,"H67","Central Sound","Percy_Washington",13.25
"42","PW_75_001_N77",39.163265,0,0,"Herring","Artificial Lure",12600,1975-02-07,2,11:30:00,15:00:00,3,"N77","Central Sound","Percy_Washington",10.5
"43","PW_75_002_K85",200.234375,0,0,"Herring","Artificial Lure",10800,1975-02-22,2,09:00:00,12:00:00,3,"K85","Central Sound","Percy_Washington",9
"44","PW_75_003_L72",30.181818,0,0,"Herring","Artificial Lure",9000,1975-02-26,2,11:30:00,14:00:00,3,"L72","Central Sound","Percy_Washington",7.5
"45","PW_75_004_H78",61.729728,0,0,"Herring","Hook only",8100,1975-02-27,2,11:30:00,13:45:00,2,"H78","Central Sound","Percy_Washington",4.5
"46","PW_75_006_G59",135.489791,0,0,"Herring","Hook only",23100,1975-03-06,3,10:45:00,17:10:00,4,"G59","Whidbey Island","Percy_Washington",25.6666666666667
"47","PW_75_007_K89",61.410713,0,0,"Herring","Hook only",3300,1975-03-13,3,14:10:00,15:05:00,2,"K89","Central Sound","Percy_Washington",1.83333333333333
"48","PW_75_008_H74",2.857142,0,0,"Herring","Hook only",2700,1975-04-09,4,15:00:00,15:45:00,3,"H74","Central Sound","Percy_Washington",2.25
"49","PW_75_008_H78",61.729728,0,0,"Herring","Hook only",12300,1975-04-07,4,11:00:00,14:25:00,3,"H78","Central Sound","Percy_Washington",10.25
"50","PW_75_009_I68",61.673469,0,0,"Herring","Hook only",21000,1975-04-10,4,10:40:00,16:30:00,2,"I68","Central Sound","Percy_Washington",11.6666666666667
"51","PW_75_010_F69",73.29412,0,0,"Herring","Hook only",4200,1975-04-15,4,11:50:00,13:00:00,2,"F69","Whidbey Island","Percy_Washington",2.33333333333333
"52","PW_75_010_G66",164.387756,0,0,"Herring","Artificial Lure",6000,1975-04-15,4,15:10:00,16:50:00,2,"G66","Central Sound","Percy_Washington",3.33333333333333
"53","PW_75_010_H74",2.857142,0,0,"Herring","Hook only",3600,1975-04-15,4,10:35:00,11:35:00,2,"H74","Central Sound","Percy_Washington",2
"54","PW_75_010_J68",35.224491,0,0,"Herring","Hook only",7020,1975-04-15,4,13:08:00,15:05:00,2,"J68","Central Sound","Percy_Washington",3.9
"55","PW_75_011_F69",73.29412,0,0,"Herring","Hook only",5400,1975-04-18,4,12:00:00,13:30:00,2,"F69","Whidbey Island","Percy_Washington",3
"56","PW_75_012_N86",18.72093,0,0,"Herring","Hook only",9000,1975-04-24,4,12:00:00,14:30:00,2,"N86","Central Sound","Percy_Washington",5
"57","PW_75_013_N77",39.163265,0,0,"Herring","Artificial Lure",8580,1975-04-30,4,11:30:00,13:53:00,3,"N77","Central Sound","Percy_Washington",7.15
"58","PW_75_014_N103",43.166667,0,0,"Herring","Artificial Lure",6300,1975-05-08,5,12:15:00,14:00:00,2,"N103","Central Sound","Percy_Washington",3.5
"59","PW_75_016_E65",79.652175,0,4,"Herring","Artificial Lure",13080,1975-06-03,6,12:00:00,15:38:00,3,"E65","Whidbey Island","Percy_Washington",10.9
"60","PW_75_017_I79",45.324325,0,0,"Herring","Artificial Lure",2100,1975-06-09,6,19:30:00,20:05:00,3,"I79","Central Sound","Percy_Washington",1.75
"61","PW_75_019_L89",42.707317,0,0,"Herring","Hook only",17100,1975-06-17,6,11:30:00,16:15:00,3,"L89","Central Sound","Percy_Washington",14.25
"62","PW_75_020_N86",18.72093,0,0,"Herring","Hook only",12360,1975-06-18,6,12:24:00,15:50:00,3,"N86","Central Sound","Percy_Washington",10.3
"63","PW_75_021_N86",18.72093,0,0,"Herring","Hook only",9000,1975-06-19,6,10:30:00,13:00:00,4,"N86","Central Sound","Percy_Washington",10
"64","PW_75_022_E65",79.652175,0,0,"no bait","Artificial Lure",7532.41379310345,1975-06-27,6,NA,NA,3,"E65","Whidbey Island","Percy_Washington",6.27701149425287
"65","PW_75_024_E65",79.652175,0,1,"Herring","Artificial Lure",22560,1975-07-02,7,10:14:00,16:30:00,3,"E65","Whidbey Island","Percy_Washington",18.8
"66","PW_75_025_F60",99.744186,0,0,"Herring","Artificial Lure",9000,1975-07-03,7,12:00:00,14:30:00,4,"F60","Whidbey Island","Percy_Washington",10
"67","PW_75_026_E65",79.652175,0,0,"Herring","Artificial Lure",7532.41379310345,1975-07-04,7,NA,NA,4,"E65","Whidbey Island","Percy_Washington",8.36934865900383
"68","PW_75_027_H78",61.729728,0,0,"Herring","Artificial Lure",2700,1975-07-14,7,12:05:00,12:50:00,4,"H78","Central Sound","Percy_Washington",3
"69","PW_75_027_L78",153.946426,0,0,"Herring","Artificial Lure",11640,1975-07-14,7,08:50:00,12:04:00,4,"L78","Central Sound","Percy_Washington",12.9333333333333
"70","PW_75_028_E65",79.652175,0,0,"Herring","Artificial Lure",7532.41379310345,1975-07-15,7,NA,NA,4,"E65","Whidbey Island","Percy_Washington",8.36934865900383
"71","PW_75_029_G57",60.529411,0,6,"Herring","Artificial Lure",11280,1975-07-17,7,10:30:00,13:38:00,3,"G57","Whidbey Island","Percy_Washington",9.4
"72","PW_75_03_L72",30.181818,0,0,"Herring","Artificial Lure",9000,1975-02-26,2,11:30:00,14:00:00,3,"L72","Central Sound","Percy_Washington",7.5
"73","PW_75_030_F60",99.744186,0,0,"Herring","Artificial Lure",3120,1975-07-17,7,13:50:00,14:42:00,3,"F60","Whidbey Island","Percy_Washington",2.6
"74","PW_75_031_F60",99.744186,0,0,"Herring","Artificial Lure",7532.41379310345,1975-07-18,7,NA,NA,3,"F60","Whidbey Island","Percy_Washington",6.27701149425287
"75","PW_75_031_G57",60.529411,0,0,"Herring","Artificial Lure",7532.41379310345,1975-07-18,7,NA,NA,3,"G57","Whidbey Island","Percy_Washington",6.27701149425287
"76","PW_75_033_H90",34.285713,0,0,"no bait","Artificial Lure",25500,1975-07-30,7,07:25:00,14:30:00,2,"H90","Central Sound","Percy_Washington",14.1666666666667
"77","PW_75_034_H90",34.285713,0,0,"Herring","Hook only",13500,1975-08-05,8,10:45:00,14:30:00,2,"H90","Central Sound","Percy_Washington",7.5
"78","PW_75_035_J67",23.163265,0,0,"no bait","Artificial Lure",15000,1975-08-12,8,08:00:00,12:10:00,3,"J67","Central Sound","Percy_Washington",12.5
"79","PW_75_035_P63",103.453125,0,0,"no bait","Artificial Lure",4200,1975-08-12,8,12:10:00,13:20:00,3,"P63","Central Sound","Percy_Washington",3.5
"80","PW_75_036_N104",39.61111,0,0,"no bait","Artificial Lure",7532.41379310345,1975-08-13,8,NA,NA,3,"N104","Central Sound","Percy_Washington",6.27701149425287
"81","PW_75_036_Q108",70.490905,0,0,"no bait","Artificial Lure",7532.41379310345,1975-08-13,8,NA,NA,3,"Q108","South Sound","Percy_Washington",6.27701149425287
"82","PW_75_036_R110",147.015625,0,6,"no bait","Artificial Lure",1800,1975-08-13,8,14:30:00,15:00:00,3,"R110","South Sound","Percy_Washington",1.5
"83","PW_75_037_L85",46.274509,0,0,"Herring","Hook only",6300,1975-08-14,8,15:00:00,16:45:00,3,"L85","Central Sound","Percy_Washington",5.25
"84","PW_75_038_L78",153.946426,0,0,"Herring","Hook only",9900,1975-08-20,8,12:30:00,15:15:00,3,"L78","Central Sound","Percy_Washington",8.25
"85","PW_75_039_E65",79.652175,0,0,"Herring","Hook only",12600,1975-08-18,8,11:00:00,14:30:00,3,"E65","Whidbey Island","Percy_Washington",10.5
"86","PW_75_039_H66",16.799999,0,0,"Herring","Hook only",5400,1975-08-18,8,09:00:00,10:30:00,3,"H66","Central Sound","Percy_Washington",4.5
"87","PW_75_040_F60",99.744186,0,0,"Herring","Hook only",34800,1975-08-22,8,09:20:00,19:00:00,2,"F60","Whidbey Island","Percy_Washington",19.3333333333333
"88","PW_75_041_L89",42.707317,0,0,"Herring","Hook only",7532.41379310345,1975-09-03,9,NA,NA,2,"L89","Central Sound","Percy_Washington",4.18467432950192
"89","PW_75_042_I68",61.673469,0,0,"no bait","Artificial Lure",10800,1975-09-09,9,12:00:00,15:00:00,3,"I68","Central Sound","Percy_Washington",9
"90","PW_75_043_G57",60.529411,0,0,"no bait","Artificial Lure",8100,1975-09-17,9,10:10:00,12:25:00,3,"G57","Whidbey Island","Percy_Washington",6.75
"91","PW_75_043_H54",112.3564835,0,0,"no bait","Artificial Lure",8100,1975-09-17,9,12:30:00,14:45:00,3,"H54","Whidbey Island","Percy_Washington",6.75
"92","PW_75_044_F60",99.744186,0,0,"no bait","Artificial Lure",27300,1975-09-19,9,09:15:00,16:50:00,2,"F60","Whidbey Island","Percy_Washington",15.1666666666667
"93","PW_75_045_R110",147.015625,0,0,"no bait","Artificial Lure",26100,1975-09-23,9,10:45:00,18:00:00,2,"R110","South Sound","Percy_Washington",14.5
"94","PW_75_046_L78",153.946426,0,0,"no bait","Artificial Lure",9300,1975-09-24,9,12:35:00,15:10:00,3,"L78","Central Sound","Percy_Washington",7.75
"95","PW_75_046_N77",39.163265,0,0,"no bait","Artificial Lure",7260,1975-09-24,9,15:20:00,17:21:00,3,"N77","Central Sound","Percy_Washington",6.05
"96","PW_75_047_L78",153.946426,9,0,"no bait","Artificial Lure",19800,1975-10-02,10,09:30:00,15:00:00,2,"L78","Central Sound","Percy_Washington",11
"97","PW_75_049_L81",217.4857788,0,0,"no bait","Artificial Lure",7532.41379310345,1975-10-22,10,NA,NA,2,"L81","Central Sound","Percy_Washington",4.18467432950192
"98","PW_75_050_L71",100.611114,0,0,"no bait","Artificial Lure",10500,1975-10-23,10,10:15:00,13:10:00,2,"L71","Central Sound","Percy_Washington",5.83333333333333
"99","PW_75_051_E65",79.652175,0,0,"no bait","Artificial Lure",5400,1975-10-23,10,15:00:00,16:30:00,2,"E65","Whidbey Island","Percy_Washington",3
"100","PW_75_052_I78",143.160003,0,0,"Herring","Hook only",3600,1975-10-04,10,10:15:00,11:15:00,2,"I78","Central Sound","Percy_Washington",2
"101","PW_75_053_J82",42.85984421,0,0,"no bait","Artificial Lure",7532.41379310345,1975-10-04,10,NA,NA,2,"J82","Central Sound","Percy_Washington",4.18467432950192
"102","PW_75_054_N86",18.72093,0,0,"Herring","Hook only",6300,1975-11-24,11,11:30:00,13:15:00,2,"N86","Central Sound","Percy_Washington",3.5
"103","PW_75_055_N86",18.72093,0,0,"Other","Hook only",17400,1975-11-26,11,08:20:00,13:10:00,2,"N86","Central Sound","Percy_Washington",9.66666666666667
"104","PW_75_056_N77",39.163265,0,0,"no bait","Artificial Lure",9000,1975-12-10,12,10:30:00,13:00:00,2,"N77","Central Sound","Percy_Washington",5
"105","PW_75_057_L78",153.946426,3,0,"Herring","Artificial Lure",23400,1975-12-11,12,09:15:00,15:45:00,2,"L78","Central Sound","Percy_Washington",13
"106","PW_75_058_L78",153.946426,2,0,"no bait","Artificial Lure",7532.41379310345,1975-12-12,12,NA,NA,3,"L78","Central Sound","Percy_Washington",6.27701149425287
"107","PW_75_059_L78",153.946426,0,0,"no bait","Artificial Lure",5400,1975-12-17,12,08:00:00,09:30:00,3,"L78","Central Sound","Percy_Washington",4.5
"108","PW_75_059_N77",39.163265,0,0,"no bait","Artificial Lure",15600,1975-12-17,12,09:45:00,14:05:00,3,"N77","Central Sound","Percy_Washington",13
"109","PW_75_060_E66",16.666666,0,0,"Herring","Artificial Lure",10500,1975-12-18,12,10:50:00,13:45:00,3,"E66","Whidbey Island","Percy_Washington",8.75
"110","PW_76_001_H85",56.358974,0,0,"no bait","Artificial Lure",5700,1976-01-06,1,09:45:00,11:20:00,3,"H85","Central Sound","Percy_Washington",4.75
"111","PW_76_002_G91",5.333333,0,0,"Herring","Artificial Lure",8100,1976-01-06,1,11:45:00,14:00:00,2,"G91","Central Sound","Percy_Washington",4.5
"112","PW_76_003_N86",18.72093,0,0,"Herring","Hook only",20700,1976-01-08,1,08:25:00,14:10:00,2,"N86","Central Sound","Percy_Washington",11.5
"113","PW_76_004_F96",61.142856,0,0,"no bait","Artificial Lure",14400,1976-01-12,1,11:00:00,15:00:00,3,"F96","Central Sound","Percy_Washington",12
"114","PW_76_005_M78",50.836734,2,0,"no bait","Artificial Lure",9600,1976-01-13,1,09:10:00,11:50:00,3,"M78","Central Sound","Percy_Washington",8
"115","PW_76_006_O77",6.307692,0,0,"no bait","Artificial Lure",5100,1976-01-13,1,12:05:00,13:30:00,3,"O77","Central Sound","Percy_Washington",4.25
"116","PW_76_007_N86",18.72093,0,0,"no bait","Artificial Lure",2700,1976-01-14,1,10:00:00,10:45:00,4,"N86","Central Sound","Percy_Washington",3
"117","PW_76_008_N86",18.72093,0,0,"Herring","Hook only",20100,1976-01-14,1,11:05:00,16:40:00,4,"N86","Central Sound","Percy_Washington",22.3333333333333
"118","PW_76_009_I79",45.324325,0,0,"no bait","Artificial Lure",4200,1976-01-29,1,09:15:00,10:25:00,4,"I79","Central Sound","Percy_Washington",4.66666666666667
"119","PW_76_010_H77",161.159668,0,0,"no bait","Artificial Lure",6120,1976-01-29,1,10:38:00,12:20:00,4,"H77","Central Sound","Percy_Washington",6.8
"120","PW_76_011_H76",88.675003,0,0,"no bait","Artificial Lure",9300,1976-01-29,1,12:30:00,15:05:00,4,"H76","Central Sound","Percy_Washington",10.3333333333333
"121","PW_76_012_N100",51.979999,0,0,"no bait","Artificial Lure",3300,1976-01-30,1,10:05:00,11:00:00,2,"N100","Central Sound","Percy_Washington",1.83333333333333
"122","PW_76_013_N103",43.166667,0,0,"no bait","Artificial Lure",1800,1976-01-30,1,11:40:00,12:10:00,2,"N103","Central Sound","Percy_Washington",1
"123","PW_76_014_R110",147.015625,0,0,"no bait","Artificial Lure",6900,1976-01-30,1,12:40:00,14:35:00,2,"R110","South Sound","Percy_Washington",3.83333333333333
"124","PW_76_015_Q108",70.490905,0,0,"no bait","Artificial Lure",900,1976-01-30,1,14:45:00,15:00:00,2,"Q108","South Sound","Percy_Washington",0.5
"125","PW_76_016_G91",5.333333,0,0,"no bait","Artificial Lure",6600,1976-02-02,2,11:55:00,13:45:00,4,"G91","Central Sound","Percy_Washington",7.33333333333333
"126","PW_76_017_J90",167.714279,0,0,"no bait","Artificial Lure",2700,1976-02-02,2,14:05:00,14:50:00,4,"J90","Central Sound","Percy_Washington",3
"127","PW_76_018_K90",35.549999,0,0,"Herring","Artificial Lure",2400,1976-02-02,2,15:00:00,15:40:00,4,"K90","Central Sound","Percy_Washington",2.66666666666667
"128","PW_76_019_I86",27.652173,0,0,"no bait","Artificial Lure",2400,1976-02-02,2,15:50:00,16:30:00,4,"I86","Central Sound","Percy_Washington",2.66666666666667
"129","PW_76_020_O77",6.307692,0,0,"Herring","Artificial Lure",10200,1976-02-05,2,10:10:00,13:00:00,3,"O77","Central Sound","Percy_Washington",8.5
"130","PW_76_021_O78",3.933333,0,0,"Herring","Artificial Lure",900,1976-02-05,2,13:15:00,13:30:00,3,"O78","Central Sound","Percy_Washington",0.75
"131","PW_76_022_O78",3.933333,0,0,"Herring","Hook only",7200,1976-02-05,2,13:40:00,15:40:00,3,"O78","Central Sound","Percy_Washington",6
"132","PW_76_023_H57",99.696968,0,0,"Herring","Hook only",4500,1976-02-19,2,10:20:00,11:35:00,3,"H57","Whidbey Island","Percy_Washington",3.75
"133","PW_76_024_G57",60.529411,0,0,"Herring","Hook only",600,1976-02-19,2,11:45:00,11:55:00,2,"G57","Whidbey Island","Percy_Washington",0.333333333333333
"134","PW_76_025_F59",80.964286,0,0,"Herring","Hook only",2700,1976-02-20,2,12:00:00,12:45:00,3,"F59","Whidbey Island","Percy_Washington",2.25
"135","PW_76_026_F97",111.021736,0,0,"Herring","Hook only",8400,1976-02-20,2,11:00:00,13:20:00,4,"F97","Central Sound","Percy_Washington",9.33333333333333
"136","PW_76_027_H93",119.551017,0,0,"Herring","Hook only",2400,1976-02-20,2,13:30:00,14:10:00,3,"H93","Central Sound","Percy_Washington",2
"137","PW_76_028_F96",61.142856,0,0,"no bait","Artificial Lure",1500,1976-02-20,2,15:20:00,15:45:00,4,"F96","Central Sound","Percy_Washington",1.66666666666667
"138","PW_76_029_N86",18.72093,0,0,"Other","Hook only",17100,1976-03-04,3,10:15:00,15:00:00,3,"N86","Central Sound","Percy_Washington",14.25
"139","PW_76_030_M78",50.836734,7,0,"no bait","Artificial Lure",28800,1976-03-08,3,09:00:00,17:00:00,2,"M78","Central Sound","Percy_Washington",16
"140","PW_76_031_K86",210.107147,0,0,"no bait","Artificial Lure",9900,1976-03-09,3,09:40:00,12:25:00,4,"K86","Central Sound","Percy_Washington",11
"141","PW_76_032_L85",46.274509,0,0,"Other","Artificial Lure",1800,1976-03-09,3,12:30:00,13:00:00,4,"L85","Central Sound","Percy_Washington",2
"142","PW_76_033_L84",32.886791,0,0,"no bait","Artificial Lure",1200,1976-03-09,3,13:10:00,13:30:00,4,"L84","Central Sound","Percy_Washington",1.33333333333333
"143","PW_76_034_M78",50.836734,0,0,"no bait","Artificial Lure",600,1976-03-09,3,13:45:00,13:55:00,4,"M78","Central Sound","Percy_Washington",0.666666666666667
"144","PW_76_035_O77",6.307692,0,0,"no bait","Artificial Lure",6600,1976-03-09,3,14:00:00,15:50:00,4,"O77","Central Sound","Percy_Washington",7.33333333333333
"145","PW_76_036_O77",6.307692,0,0,"no bait","Artificial Lure",9000,1976-03-11,3,10:00:00,12:30:00,3,"O77","Central Sound","Percy_Washington",7.5
"146","PW_76_037_P83",23.184209,0,0,"no bait","Artificial Lure",9000,1976-03-15,3,09:30:00,12:00:00,3,"P83","Central Sound","Percy_Washington",7.5
"147","PW_76_038_O77",6.307692,0,0,"no bait","Artificial Lure",12300,1976-03-15,3,12:20:00,15:45:00,3,"O77","Central Sound","Percy_Washington",10.25
"148","PW_76_039_L78",153.946426,0,0,"no bait","Artificial Lure",1500,1976-03-15,3,15:50:00,16:15:00,3,"L78","Central Sound","Percy_Washington",1.25
"149","PW_76_040_H67",59.612243,0,0,"no bait","Artificial Lure",900,1976-03-16,3,09:45:00,10:00:00,3,"H67","Central Sound","Percy_Washington",0.75
"150","PW_76_041_F66",151.254547,0,0,"no bait","Artificial Lure",10200,1976-03-16,3,10:10:00,13:00:00,3,"F66","Whidbey Island","Percy_Washington",8.5
"151","PW_76_042_H66",16.799999,0,0,"Herring","Hook only",7320,1976-03-16,3,13:10:00,15:12:00,3,"H66","Central Sound","Percy_Washington",6.1
"152","PW_76_043_F67",97.823532,0,0,"no bait","Artificial Lure",900,1976-03-16,3,15:30:00,15:45:00,3,"F67","Whidbey Island","Percy_Washington",0.75
"153","PW_76_044_N77",39.163265,0,0,"no bait","Artificial Lure",9900,1976-03-19,3,12:15:00,15:00:00,2,"N77","Central Sound","Percy_Washington",5.5
"154","PW_76_045_L78",153.946426,0,0,"no bait","Artificial Lure",7200,1976-03-30,3,07:15:00,09:15:00,2,"L78","Central Sound","Percy_Washington",4
"155","PW_76_046_N77",39.163265,0,0,"no bait","Artificial Lure",6600,1976-03-30,3,10:00:00,11:50:00,2,"N77","Central Sound","Percy_Washington",3.66666666666667
"156","PW_76_047_P82",21.945945,0,0,"no bait","Artificial Lure",1200,1976-03-30,3,12:10:00,12:30:00,2,"P82","Central Sound","Percy_Washington",0.666666666666667
"157","PW_76_048_BB53",89.02838898,0,0,"no bait","Artificial Lure",6600,1976-04-07,4,15:30:00,17:20:00,3,"BB53","Straits of Juan de Fuca","Percy_Washington",5.5
"158","PW_76_049_BB52",91.77871704,0,0,"no bait","Artificial Lure",23100,1976-04-08,4,06:35:00,13:00:00,3,"BB52","Straits of Juan de Fuca","Percy_Washington",19.25
"159","PW_76_050_LL49",109.875351,0,0,"no bait","Artificial Lure",1800,1976-04-08,4,11:05:00,11:35:00,3,"LL49","Straits of Juan de Fuca","Percy_Washington",1.5
"160","PW_76_055_N86",18.72093,0,0,"Other","Hook only",12000,1976-04-14,4,08:10:00,11:30:00,2,"N86","Central Sound","Percy_Washington",6.66666666666667
"161","PW_76_056_F59",80.964286,0,0,"Other","Hook only",600,1976-04-20,4,09:35:00,09:45:00,2,"F59","Whidbey Island","Percy_Washington",0.333333333333333
"162","PW_76_057_G57",60.529411,0,0,"no bait","Artificial Lure",8400,1976-04-20,4,09:55:00,12:15:00,2,"G57","Whidbey Island","Percy_Washington",4.66666666666667
"163","PW_76_058_M78",50.836734,0,0,"no bait","Artificial Lure",18300,1976-04-21,4,07:10:00,12:15:00,2,"M78","Central Sound","Percy_Washington",10.1666666666667
"164","PW_76_059_G97",183.244903,0,0,"no bait","Artificial Lure",3600,1976-04-28,4,07:50:00,08:50:00,3,"G97","Central Sound","Percy_Washington",3
"165","PW_76_060_G95",134.958328,0,0,"no bait","Artificial Lure",7200,1976-04-28,4,09:10:00,11:10:00,3,"G95","Central Sound","Percy_Washington",6
"166","PW_76_061_J93",112.76316,0,0,"Herring","Hook only",3900,1976-04-28,4,11:25:00,12:30:00,3,"J93","Central Sound","Percy_Washington",3.25
"167","PW_76_062_H90",34.285713,0,0,"no bait","Artificial Lure",2400,1976-04-28,4,13:00:00,13:40:00,3,"H90","Central Sound","Percy_Washington",2
